medium,java,A process that involves recognizing and focusing on the important characteristics of a situation or object is known as:,(a)Encapsulation,(b) Polymorphism, (c) Abstraction,(d) Inheritance,c
easy,java,Which statement is true regarding an object?,(a) An object is what classes instantiated are from,(b) An object is an instance of a class,(c) An object is a variable,(d) An object is a reference to an attribute,b
easy,java,In object-oriented programming composition relates to,(a) The use of consistent coding conventions,(b) The organization of components interacting to achieve a coherent common behavior,(c) The use of inheritance to achieve polymorphic behavior,(d) The organization of components interacting not to achieve a coherent common behavior,b
medium,java,In object-oriented programming new classes can be defined by extending existing classes. This is an example of:,(a) Encapsulation,(b) Interface,(c) Composition,(d) Inheritance,d
hard,java,Which of the following does not belong: If a class inherits from some other class it should,(a) Make use of the parent class capabilities,(b) Over-ride or add the minimum to accomplish the derived class purpose,(c) Over-ride all the methods of its parent class,(d) Make sure the result IS-A-KIND-OF its base class,c
hard,java,What is garbage collection in the context of Java?,(a) The operating system periodically deletes all of the java files available on the system.,(b) Any package imported in a program and not used is automatically deleted.,(c) When all references to an object are gone the memory used by the object is automatically reclaimed.,(d) The JVM checks the output of any Java program and deletes anything that does not make sense.,c
easy,literature,the turning point or point of highest tension is sometimes called the point of no return,(a)Exposition,(b) Climax,(c) Schema,(d) Foo,b
medium,literature,the conclusion or way events turn out,(a)Rising action,(b) Resolution or Denouement,(c) Annotation,(d) Falling action,b
easy,math,What is the sum of 66 and 11?,(a)77,(b)67,(c)76,(d)177,a
easy,math,What is the square root of 25?,(a)5,(b)25,(c)50,(d)7,a
easy,math,What is 3 subtracted from 33?,(a)30,(b)36,(c)333,(d)-3,a
medium,math,5x + 2 = 7x . Find x,(a)1/3,(b)Â½,(c)1,(d)2,c
medium,math,A number is increased by 2 and then multiplied by 3. The result is 24. What is this number?,(a)4,(b)6,(c)8,(d)10,b
medium,math,20% of 2 is equal to...,(A)20,(B)4,(C)0.4,(D)0.04,c
hard,math,What is the degree of 7x + 1?,(a)1,(b)7,(c)2,(d)0,a
hard,math,What is (x^4)/(x^0)?,(a)x^3,(b)x^5,(c)x^0,(d)x^4,d
hard,math,What direction does the parabola y = -3x^2 - 1 open?,(a)up,(b)right,(c)left,(d)down,d